"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_200_1";"verf_200_2";"verf_200_6";"verf_200_16";"verf_200_30";"verf_200_50";"verf_200_100";"verf_200_200";"verf_200_400";"verf_200_1000";"verf_300_1";"verf_300_2";"verf_300_6";"verf_300_16";"verf_300_30";"verf_300_50";"verf_300_100";"verf_300_200";"verf_300_400";"verf_300_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_ftth_1";"verf_ftth_2";"verf_ftth_6";"verf_ftth_16";"verf_ftth_30";"verf_ftth_50";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_plc_1";"verf_plc_2";"verf_plc_6";"verf_plc_16";"verf_plc_30";"verf_plc_50";"verf_plc_100";"verf_plc_200";"verf_plc_400";"verf_plc_1000";"verf_umts_1";"verf_umts_2";"verf_lte_1";"verf_lte_2";"verf_lte_6";"verf_wlan_1";"verf_wlan_2";"verf_wlan_6";"verf_wlan_16";"verf_wlan_30";"verf_wlan_50";"verf_wlan_100";"verf_wlan_200";"verf_wlan_400";"verf_wlan_1000";"verf_wimax_1";"verf_wimax_2";"verf_wimax_6";"verf_wimax_16";"verf_wimax_30";"verf_wimax_50";"verf_wimax_100";"verf_wimax_200";"verf_wimax_400";"verf_wimax_1000"
"01";98.18;97.46;94.94;92.07;90.25;88.67;77.41;76.71;63.33;47.99;99.06;98.95;97.09;12.34;4.12;4.01;0.00;0.00;0.00;0.00;99.93;99.89;99.56;92.43;90.28;88.81;77.41;76.71;63.33;47.99;96.94;95.71;91.32;85.65;77.08;70.82;23.67;23.67;21.84;21.84;21.84;21.84;21.84;21.84;21.84;21.84;21.84;21.84;68.20;68.20;68.20;68.20;68.20;68.20;66.48;66.48;52.64;31.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;90.37;43.78;98.88;98.88;98.15;12.55;12.54;12.53;12.31;4.11;4.01;0.00;0.00;0.00;0.00;0.74;0.66;0.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"02";100.00;100.00;100.00;99.00;98.00;97.00;93.00;88.00;87.00;87.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;99.00;98.00;97.00;93.00;88.00;87.00;87.00;100.00;100.00;100.00;99.00;93.00;85.00;23.00;23.00;71.00;71.00;71.00;71.00;71.00;71.00;71.00;71.00;71.00;71.00;87.00;87.00;87.00;87.00;87.00;87.00;87.00;87.00;87.00;87.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;42.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03";98.51;98.11;96.03;93.00;90.44;87.44;70.90;67.16;58.90;37.84;99.08;98.86;97.12;0.84;0.54;0.51;0.00;0.00;0.00;0.00;99.94;99.92;99.68;93.10;90.49;87.49;70.90;67.16;58.90;37.84;97.72;97.15;94.23;89.55;83.95;78.19;36.17;24.65;7.21;7.21;7.21;7.21;7.21;7.21;7.21;7.21;7.21;7.21;64.54;64.54;64.54;64.54;64.54;64.54;63.40;62.40;56.92;34.46;0.50;0.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;89.51;45.31;98.58;98.58;97.86;4.61;4.60;3.27;0.80;0.54;0.51;0.00;0.00;0.00;0.00;7.14;7.14;5.75;0.04;0.00;0.00;0.00;0.00;0.00;0.00
"04";99.85;99.82;99.65;98.43;97.29;95.92;90.40;89.59;88.35;87.04;99.77;99.77;98.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;99.97;98.43;97.29;95.92;90.40;89.59;88.35;87.04;99.62;99.57;98.33;96.77;91.16;84.42;41.37;35.91;2.07;2.07;2.07;2.07;2.07;2.07;2.07;2.07;2.07;2.07;88.51;88.51;88.51;88.51;88.51;88.51;88.42;88.42;88.11;86.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.85;43.65;99.77;99.77;99.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.11;0.11;0.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"05";99.52;99.30;98.08;95.65;93.02;91.30;76.12;75.21;71.20;14.28;99.76;99.45;97.81;2.63;1.33;0.47;0.00;0.00;0.00;0.00;99.99;99.98;99.89;95.78;93.08;91.31;76.12;75.21;71.20;14.28;99.28;98.95;97.08;92.82;84.53;78.28;27.80;27.07;8.94;8.94;8.94;8.94;8.94;8.94;8.94;8.94;8.94;8.94;71.01;71.01;71.01;71.01;71.01;71.01;69.68;69.67;69.60;10.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.94;46.96;99.28;99.28;98.83;1.74;1.74;1.68;1.61;1.01;0.47;0.00;0.00;0.00;0.00;1.34;1.34;1.27;1.04;0.32;0.00;0.00;0.00;0.00;0.00
"06";98.76;98.35;96.91;94.86;92.44;89.56;72.67;69.63;62.50;19.21;99.09;98.90;97.75;10.65;4.13;4.13;0.00;0.00;0.00;0.00;99.91;99.86;99.60;95.13;92.55;89.69;72.67;69.63;62.50;19.21;98.32;97.81;95.95;93.13;87.06;79.12;41.66;34.88;7.72;7.72;7.72;7.72;7.72;7.72;7.72;7.72;7.72;7.72;62.77;62.77;62.77;62.77;62.77;62.77;61.68;61.68;61.68;11.48;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;93.42;48.72;98.27;98.27;97.94;19.05;19.05;15.68;10.64;4.13;4.13;0.00;0.00;0.00;0.00;3.24;3.22;1.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"07";98.29;97.83;95.62;92.06;89.57;85.64;63.03;60.27;43.98;12.65;97.71;97.19;95.95;5.04;1.38;0.12;0.00;0.00;0.00;0.00;99.82;99.74;99.35;92.62;89.87;85.73;63.03;60.27;43.98;12.65;96.73;95.59;91.28;84.16;77.33;70.34;28.38;24.59;2.54;2.54;2.54;2.54;2.54;2.54;2.54;2.54;2.54;2.54;59.91;59.91;59.91;59.91;59.91;59.46;56.33;54.22;43.06;10.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;88.79;47.81;96.83;96.83;96.37;5.81;5.45;5.35;4.47;0.86;0.12;0.00;0.00;0.00;0.00;0.77;0.65;0.65;0.56;0.52;0.00;0.00;0.00;0.00;0.00
"08";98.94;98.51;96.65;93.35;90.28;87.20;72.00;71.75;66.84;6.06;98.11;97.21;95.35;5.37;0.39;0.36;0.00;0.00;0.00;0.00;99.86;99.77;99.29;93.83;90.41;87.32;72.00;71.75;66.84;6.06;98.16;97.29;94.06;87.80;78.33;70.31;26.62;26.42;2.21;2.21;2.21;2.21;2.21;2.21;2.21;2.21;2.21;2.21;67.17;67.17;67.17;67.17;67.15;67.15;66.53;66.53;66.50;3.86;3.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;89.90;45.08;96.71;96.71;95.95;8.81;5.99;5.48;5.34;0.38;0.35;0.00;0.00;0.00;0.00;0.24;0.24;0.15;0.02;0.00;0.00;0.00;0.00;0.00;0.00
"09";99.30;99.11;98.19;95.82;93.00;88.36;67.16;65.85;54.98;47.86;98.24;97.99;96.24;13.04;7.78;3.71;0.00;0.00;0.00;0.00;99.94;99.92;99.76;96.46;93.70;88.70;67.16;65.85;54.98;47.86;98.86;98.54;96.91;92.15;84.59;74.56;34.07;33.51;11.66;11.66;11.66;11.66;11.66;11.66;11.66;11.66;11.66;11.66;62.43;62.43;62.43;62.40;62.13;62.01;59.39;58.61;53.70;46.26;0.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;88.27;45.71;97.41;97.41;96.69;13.06;12.90;12.88;11.59;6.36;2.29;0.00;0.00;0.00;0.00;3.32;3.32;3.30;1.62;1.53;1.53;0.00;0.00;0.00;0.00
"10";99.84;99.75;99.38;98.23;95.82;92.84;74.02;66.69;60.19;47.04;97.81;96.90;94.83;1.62;0.00;0.00;0.00;0.00;0.00;0.00;99.98;99.97;99.94;98.23;95.82;92.84;74.02;66.69;60.19;47.04;98.67;97.90;95.37;88.70;79.01;71.84;28.65;20.21;2.44;2.44;2.44;2.44;2.44;2.44;2.44;2.44;2.44;2.44;63.92;63.92;63.92;63.92;63.92;63.92;63.70;62.15;59.93;46.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;91.74;48.03;96.48;96.48;95.25;1.51;1.51;1.51;1.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"11";100.00;100.00;100.00;99.00;97.00;96.00;87.00;87.00;79.00;54.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;99.00;97.00;96.00;87.00;87.00;79.00;54.00;100.00;100.00;99.00;98.00;91.00;80.00;36.00;36.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;89.00;89.00;89.00;89.00;89.00;89.00;86.00;86.00;79.00;54.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;45.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"12";97.95;97.50;95.70;91.12;86.80;82.48;43.99;43.36;29.76;6.59;97.96;97.36;95.46;5.20;0.00;0.00;0.00;0.00;0.00;0.00;99.92;99.89;99.63;92.27;86.80;82.48;43.99;43.36;29.76;6.59;97.61;97.03;94.40;86.91;79.69;72.61;16.41;16.39;5.32;5.32;5.32;5.32;5.32;5.32;5.32;5.32;5.32;5.32;44.53;44.53;44.53;44.40;44.04;44.02;38.01;37.26;28.26;1.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;85.79;47.79;96.81;96.81;96.06;7.07;7.07;7.00;3.98;0.00;0.00;0.00;0.00;0.00;0.00;2.81;2.77;2.69;1.22;0.00;0.00;0.00;0.00;0.00;0.00
"13";94.88;94.14;89.04;79.25;75.69;72.61;56.73;54.30;38.80;14.90;97.92;97.79;96.12;1.84;0.00;0.00;0.00;0.00;0.00;0.00;99.71;99.61;98.79;79.87;75.69;72.61;56.73;54.30;38.80;14.90;93.98;93.11;86.86;72.32;64.62;58.42;21.14;21.14;7.94;7.94;7.94;7.94;7.94;7.94;7.94;7.94;7.94;7.94;53.72;53.72;53.72;53.72;53.47;53.31;47.97;45.53;34.01;9.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;84.43;45.31;97.58;97.58;96.74;1.35;0.92;0.61;0.17;0.00;0.00;0.00;0.00;0.00;0.00;8.83;8.83;8.35;1.67;0.00;0.00;0.00;0.00;0.00;0.00
"14";96.03;95.38;92.02;85.09;81.08;77.90;54.56;52.42;41.92;31.33;99.12;98.79;97.40;19.63;1.57;0.80;0.00;0.00;0.00;0.00;99.92;99.88;99.59;86.97;81.28;77.97;54.56;52.42;41.92;31.33;95.11;94.08;89.20;78.38;70.87;65.52;31.04;27.62;8.73;8.73;8.73;8.73;8.59;8.59;8.59;8.59;8.59;8.59;50.36;50.36;50.35;50.11;49.61;49.37;43.42;43.24;39.17;27.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;90.28;41.18;98.41;98.41;97.70;12.81;12.76;11.68;10.12;1.57;0.79;0.00;0.00;0.00;0.00;17.24;17.24;17.24;10.67;0.00;0.00;0.00;0.00;0.00;0.00
"15";95.12;94.01;88.42;77.24;72.67;68.38;45.91;43.73;21.44;6.15;98.62;98.55;97.37;16.48;0.00;0.00;0.00;0.00;0.00;0.00;99.81;99.77;99.37;80.98;72.67;68.38;45.91;43.73;21.44;6.15;94.25;92.90;84.70;69.54;61.79;56.12;16.34;15.15;6.07;6.07;6.07;6.07;6.07;6.07;6.07;6.07;6.07;6.07;38.61;38.61;38.61;38.61;38.61;38.61;37.22;36.61;20.73;0.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;84.55;39.59;98.19;98.19;97.65;4.96;4.90;4.12;3.71;0.00;0.00;0.00;0.00;0.00;0.00;16.31;16.31;16.13;12.76;0.00;0.00;0.00;0.00;0.00;0.00
"16";97.97;97.37;95.05;89.54;86.77;83.82;56.62;48.01;34.10;14.04;97.65;97.54;96.06;4.02;0.00;0.00;0.00;0.00;0.00;0.00;99.83;99.78;99.33;89.89;86.77;83.82;56.62;48.01;34.10;14.04;97.51;96.75;94.05;86.53;81.48;77.86;34.00;21.85;1.26;1.26;1.26;1.26;1.26;1.26;1.26;1.26;1.26;1.26;43.47;43.47;43.45;43.42;42.79;42.50;39.48;38.17;33.09;12.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;82.18;40.68;97.11;97.11;96.45;7.11;7.11;7.07;3.99;0.00;0.00;0.00;0.00;0.00;0.00;0.58;0.58;0.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00
